sample_name,Sample_type,Station,Preservative,Extraction_kit,Experiment
1.BT,North Sea,155,EtOH,BT,Exp_1
2.BT,North Sea,176,EtOH,BT,Exp_1
3.BT,North Sea,179,EtOH,BT,Exp_1
4.BT,North Sea,114,EtOH,BT,Exp_1
5.BT,North Sea,190,EtOH,BT,Exp_1
6.BT,Arendal,St1,EtOH,BT,Exp_1
7.BT,Arendal,B32/33,Dry,BT,Exp_1
8.BT,Arendal,D681/682,Dry,BT,Exp_1
9.BT,North Sea,155,Dry,BT,Exp_1
10.BT,North Sea,176,Dry,BT,Exp_1
11.BT,North Sea,179,Dry,BT,Exp_1
12.BT,North Sea,114,Dry,BT,Exp_1
13.BT,North Sea,190,Dry,BT,Exp_1
14.BT,Arendal,B27/28,Dry,BT,Exp_1
15.BT,Arendal,62.1000only,Dry,BT,Exp_1
1.PS,North Sea,155,EtOH,PS,Exp_1
2.PS,North Sea,176,EtOH,PS,Exp_1
3.PS,North Sea,179,EtOH,PS,Exp_1
4.PS,North Sea,114,EtOH,PS,Exp_1
5.PS,North Sea,190,EtOH,PS,Exp_1
6.PS,Arendal,St1,EtOH,PS,Exp_1
7.PS,Arendal,B32/33,Dry,PS,Exp_1
8.PS,Arendal,D681/682,Dry,PS,Exp_1
9.PS,North Sea,155,Dry,PS,Exp_1
10.PS,North Sea,176,Dry,PS,Exp_1
11.PS,North Sea,179,Dry,PS,Exp_1
12.PS,North Sea,114,Dry,PS,Exp_1
13.PS,North Sea,190,Dry,PS,Exp_1
14.PS,Arendal,B27/28,Dry,PS,Exp_1
15.PS,Arendal,62.1000only,Dry,PS,Exp_1