sample_id,type,sample_name
Zoo_01,sample,2
Zoo_02,sample,4
Zoo_03,sample,6
Zoo_04,sample,8
Zoo_05,sample,10
Zoo_06,sample,12
Zoo_07,sample,14
Zoo_08,sample,16
Zoo_09,sample,18
Zoo_10,sample,20
Zoo_11,sample,22
Zoo_12,sample,24
Zoo_13,sample,26
Zoo_14,sample,28
Zoo_15,sample,30
Zoo_16,sample,32
Zoo_17,sample,43
Zoo_18,sample,45
Zoo_19,sample,47
Zoo_20,sample,50
Zoo_21,sample,60
Zoo_22,sample,52
Zoo_23,sample,37
Zoo_24,sample,63
Zoo_25,sample,65
Zoo_26,sample,46
Zoo_27,sample,64
Zoo_28,sample,67
Zoo_29,sample,51
Zoo_30,sample,54
Zoo_31,sample,62
Zoo_32,sample,41
Zoo_33,sample,66
Zoo_34,sample,33
Zoo_35,sample,56
Zoo_36,sample,49
Zoo_37,sample,48
Zoo_38,sample,58
Zoo_39,sample,39